"type","value","count","flag"
"top_twitterer","RogerBezanis",4861,"none"
"top_twitterer","GeneticsUpdate",2468,"none"
"top_twitterer","Paul_Sonnier",2334,"none"
"top_twitterer","sl1lm",2044,"none"
"top_twitterer","trove",2041,"none"
"top_twitterer","dbbmonica",1686,"none"
"top_twitterer","bobfartall",1516,"none"
"top_twitterer","SNRTG",1497,"none"
"top_twitterer","Geneticswatch",1494,"none"
"top_twitterer","LifeSciWorld",1452,"none"
"top_twitterer","naturalgenetic",1422,"none"
"top_twitterer","lluciz",1415,"none"
"top_twitterer","JoyceSchneider1",1350,"none"
"top_twitterer","ohio98babe",1321,"none"
"top_hashtag","EidMubarak",1235,"none"
"top_hashtag","cannabis",594,"none"
"top_hashtag","neuroscience",533,"none"
"top_hashtag","DigitalHealth",522,"none"
"top_hashtag","Job",507,"none"
"top_hashtag","RareDisease",471,"none"
"top_hashtag","Mendel2015",428,"none"
"top_hashtag","Google",416,"none"
"top_hashtag","crowdfunding",413,"none"
"top_hashtag","Apple",407,"none"
"top_hashtag","Microsoft",403,"none"
"top_hashtag","SNRTG",391,"none"
"top_hashtag","Genome",373,"none"
"top_hashtag","cancer",348,"none"
"tag","Mendel2015",428,"conference"
"tag","GSAus2015",80,"conference"
"tag","FSBI2015",76,"conference"
"tag","AusMamSoc15",48,"conference"
"tag","IIFA2015",40,"conference"
"tag","smbe15",26,"conference"
"tag","CoF2015",20,"conference"
"tag","bshs15",19,"conference"
"tag","moorepark15",19,"conference"
"tag","plantbiology15",19,"conference"
"tag","AES15",16,"conference"
"tag","GSA15",16,"conference"
"tag","BodenCAG15",14,"conference"
"tag","CrossFitGames2015",14,"conference"
"tag","BHSC15",13,"conference"
"tag","iale2015",13,"conference"
"tag","icar2015",13,"conference"
"tag","usociety15",13,"conference"
"tag","AACC2015",12,"conference"
"tag","ismbeccb2015",12,"conference"
"tag","JMIH15",11,"conference"
"tag","AAIC2015",10,"conference"
"tag","Puzzles2015",10,"conference"
"tag","EEGen15",9,"conference"
"tag","2015ASM",8,"conference"
"tag","ISHPSSB2015",8,"conference"
"tag","adminDays2015",7,"conference"
"tag","ASV2015",7,"conference"
"tag","ICCB2015",7,"conference"
"tag","harvest2015",6,"conference"
"tag","JAM2015",6,"conference"
"tag","LSLS2015",6,"conference"
"tag","mbl2015",6,"conference"
"tag","Mendel150",6,"conference"
"tag","MMEE2015",6,"conference"
"tag","PlantBiology2015",6,"conference"
"tag","tfsi2015",6,"conference"
"tag","BCGSMS15",5,"conference"
"tag","BSRA2015",5,"conference"
"tag","GallaudetWFD2015",5,"conference"
"tag","ICMI2015
http://t.co/fXnKQz3sE1",5,"conference"
"tag","IMC2015",5,"conference"
"tag","NAPB2015",5,"conference"
"tag","prop215",5,"conference"
"tag","WPPAC15",5,"conference"
"tag","admindays15",4,"conference"
"tag","AusSoRGM15",4,"conference"
"tag","CornCollege15",4,"conference"
"tag","DysConf",4,"conference"
"tag","GSAus2015!!!",4,"conference"
"tag","cannabis",594,"mesh"
"tag","Genome",373,"mesh"
"tag","research",162,"mesh"
"tag","anthropology",149,"mesh"
"tag","sleep",125,"mesh"
"tag","depression",96,"mesh"
"tag","archaeology",91,"mesh"
"tag","Life",90,"mesh"
"tag","australia",84,"mesh"
"tag","Americas",73,"mesh"
"tag","Australasia",72,"mesh"
"tag","Oceania",72,"mesh"
"tag","aging",68,"mesh"
"tag","sociology",65,"mesh"
"tag","medicine",61,"mesh"
"tag","education",54,"mesh"
"tag","technology",50,"mesh"
"tag","Psychology",49,"mesh"
"tag","diet",46,"mesh"
"tag","bioethics",45,"mesh"
"tag","Fertility",44,"mesh"
"tag","obesity",44,"mesh"
"tag","taste",43,"mesh"
"tag","brain",38,"mesh"
"tag","family",38,"mesh"
"tag","ethics",37,"mesh"
"tag","anxiety",36,"mesh"
"tag","awareness",35,"mesh"
"tag","dogs",35,"mesh"
"tag","Vaccines",34,"mesh"
"tag","alcoholism",33,"mesh"
"tag","food",33,"mesh"
"tag","melanoma",33,"mesh"
"tag","nutrition",33,"mesh"
"tag","biotechnology",32,"mesh"
"tag","art",31,"mesh"
"tag","engineering",31,"mesh"
"tag","pediatrics",31,"mesh"
"tag","Entrepreneurship",30,"mesh"
"tag","plants",28,"mesh"
"tag","pregnancy",28,"mesh"
"tag","sharks",27,"mesh"
"tag","twins",27,"mesh"
"tag","dementia",26,"mesh"
"tag","epilepsy",25,"mesh"
"tag","drosophila",24,"mesh"
"tag","Gonorrhea",24,"mesh"
"tag","economics",23,"mesh"
"tag","Patients",23,"mesh"
"tag","Cells",22,"mesh"
"tag","BRCA",290,"none"
"tag","HereditaryCancer",245,"none"
"tag","Swans",245,"none"
"tag","evolution",242,"none"
"tag","Hiring",242,"none"
"tag","Healthcare",222,"none"
"tag","autism",163,"none"
"tag","KVTC",162,"none"
"tag","EurekaMag",159,"none"
"tag","breastcancer",158,"none"
"tag","GeneticTesting",151,"none"
"tag","fitness",146,"none"
"tag","LynchSyndrome",145,"none"
"tag","biotech",142,"none"
"tag","WearableTech",139,"none"
"tag","mHealth",120,"none"
"tag","PrecisionMedicine",116,"none"
"tag","crispr",110,"none"
"tag","marijuana",108,"none"
"tag","Epigenetics",97,"none"
"tag","PersonalizedMedicine",91,"none"
"tag","Hcchat",87,"none"
"tag","IoT",87,"none"
"tag","HBOC",84,"none"
"tag","Скачать",84,"none"
"tag","genetic",80,"none"
"tag","diabetes",78,"none"
