"type","value","count","flag","part","Iteration"
"top_twitterer","GeneticsUpdate",529,"none","2015-10",0
"top_twitterer","TunBreakingNews",393,"none","2015-10",0
"top_twitterer","genetics_blog",382,"none","2015-10",0
"top_twitterer","LifeSciWorld",226,"none","2015-10",0
"top_twitterer","ResearchAutism",222,"none","2015-10",0
"top_twitterer","Geneticswatch",208,"none","2015-10",0
"top_twitterer","SoFlaToday",152,"none","2015-10",0
"top_twitterer","FutureScience36",146,"none","2015-10",0
"top_twitterer","razibkhan",132,"none","2015-10",0
"top_twitterer","FutureExplore",113,"none","2015-10",0
"top_twitterer","GeneticsShare",91,"none","2015-10",0
"top_twitterer","LifeScienceshow",83,"none","2015-10",0
"top_twitterer","GeneticsRR",55,"none","2015-10",0
"top_twitterer","Perf_Genetics",37,"none","2015-10",0
"top_hashtag","neuroscience",91,"none","2015-10",0
"top_hashtag","SNRTG",74,"none","2015-10",0
"top_hashtag","ASHG15",72,"none","2015-10",0
"top_hashtag","BRCA",72,"none","2015-10",0
"top_hashtag","cancer",72,"none","2015-10",0
"top_hashtag","Beauty",68,"none","2015-10",0
"top_hashtag","cannabis",68,"none","2015-10",0
"top_hashtag","RareDisease",68,"none","2015-10",0
"top_hashtag","meded",66,"none","2015-10",0
"top_hashtag","Oceanside",66,"none","2015-10",0
"top_hashtag","healthyeating",62,"none","2015-10",0
"top_hashtag","anatomy",59,"none","2015-10",0
"top_hashtag","geometry",59,"none","2015-10",0
"top_hashtag","androidhomme",57,"none","2015-10",0
"tag","ASHG15",72,"conference","2015-10",0
"tag","iiwk15",16,"conference","2015-10",0
"tag","ttconf",11,"conference","2015-10",0
"tag","OBNAwards2015",10,"conference","2015-10",0
"tag","IWSGconf",7,"conference","2015-10",0
"tag","CPC15",6,"conference","2015-10",0
"tag","MPLC2015",5,"conference","2015-10",0
"tag","AONN2015",3,"conference","2015-10",0
"tag","ASHG15l",3,"conference","2015-10",0
"tag","CANO2015",3,"conference","2015-10",0
"tag","combio2015",3,"conference","2015-10",0
"tag","ESPE2015",3,"conference","2015-10",0
"tag","GCDE2015",3,"conference","2015-10",0
"tag","PlaywrightsWeek2015",3,"conference","2015-10",0
"tag","wce15",3,"conference","2015-10",0
"tag","WDE15",3,"conference","2015-10",0
"tag","ASHG2015",2,"conference","2015-10",0
"tag","biohack15",2,"conference","2015-10",0
"tag","CCD2015",2,"conference","2015-10",0
"tag","Cures2015",2,"conference","2015-10",0
"tag","HectorDoesSeattle2015...",2,"conference","2015-10",0
"tag","IDWeek2015",2,"conference","2015-10",0
"tag","OO15",2,"conference","2015-10",0
"tag","sdbp2015",2,"conference","2015-10",0
"tag","UGW15",2,"conference","2015-10",0
"tag","15-067",1,"conference","2015-10",0
"tag","2015DUQIOC",1,"conference","2015-10",0
"tag","ACSCC2015",1,"conference","2015-10",0
"tag","AHLA15",1,"conference","2015-10",0
"tag","ARESRC2015",1,"conference","2015-10",0
"tag","ASHG15...",1,"conference","2015-10",0
"tag","CRSBAGM2015",1,"conference","2015-10",0
"tag","DigiMed15",1,"conference","2015-10",0
"tag","FNCE2015",1,"conference","2015-10",0
"tag","gfm15",1,"conference","2015-10",0
"tag","harvest15",1,"conference","2015-10",0
"tag","iges2015",1,"conference","2015-10",0
"tag","LoLWorlds2015",1,"conference","2015-10",0
"tag","MentalHealthWeek2015",1,"conference","2015-10",0
"tag","NBForum2015",1,"conference","2015-10",0
"tag","PeerRevWk15",1,"conference","2015-10",0
"tag","postEctrims15",1,"conference","2015-10",0
"tag","ps15uv",1,"conference","2015-10",0
"tag","soh2015",1,"conference","2015-10",0
"tag","UCSFHDRS15",1,"conference","2015-10",0
"tag","WomensHealth15",1,"conference","2015-10",0
"tag","worm15",1,"conference","2015-10",0
"tag","Beauty",68,"mesh","2015-10",0
"tag","cannabis",68,"mesh","2015-10",0
"tag","anatomy",59,"mesh","2015-10",0
"tag","Perception",37,"mesh","2015-10",0
"tag","research",34,"mesh","2015-10",0
"tag","electronics",26,"mesh","2015-10",0
"tag","colorado",17,"mesh","2015-10",0
"tag","Medicine",15,"mesh","2015-10",0
"tag","education",13,"mesh","2015-10",0
"tag","food",11,"mesh","2015-10",0
"tag","milk",9,"mesh","2015-10",0
"tag","pets",9,"mesh","2015-10",0
"tag","bioethics",8,"mesh","2015-10",0
"tag","family",8,"mesh","2015-10",0
"tag","menopause",8,"mesh","2015-10",0
"tag","nutrition",8,"mesh","2015-10",0
"tag","women",8,"mesh","2015-10",0
"tag","book",7,"mesh","2015-10",0
"tag","dementia",7,"mesh","2015-10",0
"tag","epidemiology",7,"mesh","2015-10",0
"tag","insomnia",7,"mesh","2015-10",0
"tag","marketing",7,"mesh","2015-10",0
"tag","chromosomes",6,"mesh","2015-10",0
"tag","Dystonia",6,"mesh","2015-10",0
"tag","genome",6,"mesh","2015-10",0
"tag","Intelligence",6,"mesh","2015-10",0
"tag","ontario",6,"mesh","2015-10",0
"tag","privacy",6,"mesh","2015-10",0
"tag","Technology",6,"mesh","2015-10",0
"tag","wolves",6,"mesh","2015-10",0
"tag","Arizona",5,"mesh","2015-10",0
"tag","bible",5,"mesh","2015-10",0
"tag","Canada",5,"mesh","2015-10",0
"tag","diet",5,"mesh","2015-10",0
"tag","dogs",5,"mesh","2015-10",0
"tag","Drosophila",5,"mesh","2015-10",0
"tag","Environment",5,"mesh","2015-10",0
"tag","golf",5,"mesh","2015-10",0
"tag","Israel",5,"mesh","2015-10",0
"tag","men",5,"mesh","2015-10",0
"tag","nurses",5,"mesh","2015-10",0
"tag","pregnancy",5,"mesh","2015-10",0
"tag","religion",5,"mesh","2015-10",0
