"type","value","count","flag"
"top_twitterer","GenomicsRR",1266,"none"
"top_twitterer","westr",665,"none"
"top_twitterer","illumina",476,"none"
"top_twitterer","Paul_Sonnier",322,"none"
"top_twitterer","GenomeBiology",258,"none"
"top_twitterer","moorejh",243,"none"
"top_twitterer","Genomicswatch",203,"none"
"top_twitterer","SeqComplete",196,"none"
"top_twitterer","cathcoste",190,"none"
"top_twitterer","NoSQLDigest",151,"none"
"top_twitterer","DrKhouryCDC",141,"none"
"top_twitterer","JenniferJoeMD",96,"none"
"top_twitterer","GenomicsPlaza",89,"none"
"top_twitterer","Primary_Immune1",79,"none"
"top_hashtag","AGBT15",528,"none"
"top_hashtag","raredisease",239,"none"
"top_hashtag","Cancer",183,"none"
"top_hashtag","Biotech",164,"none"
"top_hashtag","Medicine",145,"none"
"top_hashtag","digitalhealth",132,"none"
"top_hashtag","dnaspectrum",129,"none"
"top_hashtag","foodsafe",129,"none"
"top_hashtag","precisionmedicine",96,"none"
"top_hashtag","bioinformatics",91,"none"
"top_hashtag","NEJMforum",84,"none"
"top_hashtag","RareDiseaseDay2015",80,"none"
"top_hashtag","pm101",73,"none"
"top_hashtag","NGS",61,"none"
"tag","AGBT15",528,"conference"
"tag","RareDiseaseDay2015",80,"conference"
"tag","StrataConf",21,"conference"
"tag","WRDD2015",20,"conference"
"tag","AGBT2015",18,"conference"
"tag","FMLMConf",16,"conference"
"tag","Oscars2015",10,"conference"
"tag","AGBT15:
http://t.co/lPjcEHr1km
Nice",9,"conference"
"tag","FOGM15",8,"conference"
"tag","AGBT15
http://t.co/95HhxCQCqT",7,"conference"
"tag","GirlDay2015",6,"conference"
"tag","JGI2015",6,"conference"
"tag","NFU15",6,"conference"
"tag","BeHeard2015",5,"conference"
"tag","CRISPR2015",5,"conference"
"tag","GRD15",5,"conference"
"tag","AGBT15”",4,"conference"
"tag","Herd15",4,"conference"
"tag","PCA2015Chat",4,"conference"
"tag","quantgen15",4,"conference"
"tag","coac15",3,"conference"
"tag","ESA2015",3,"conference"
"tag","GU15",3,"conference"
"tag","SXSW2015",3,"conference"
"tag","Wisdom2015",3,"conference"
"tag","wisdom2conf",3,"conference"
"tag","xgenseq15",3,"conference"
"tag","AGBT15

Is",2,"conference"
"tag","AGBT15
http://t.co/1DN7P1c1Ak",2,"conference"
"tag","ASCPT2015",2,"conference"
"tag","FMLM_Conf",2,"conference"
"tag","Genome2015",2,"conference"
"tag","ICEC15",2,"conference"
"tag","MBC15",2,"conference"
"tag","PMWC2015",2,"conference"
"tag","rrd15",2,"conference"
"tag","WISH2015",2,"conference"
"tag","2015",1,"conference"
"tag","2015CBBO",1,"conference"
"tag","agbt15)",1,"conference"
"tag","AGBT15...",1,"conference"
"tag","amamtg",1,"conference"
"tag","ASLO2015",1,"conference"
"tag","CROI2015",1,"conference"
"tag","FNA15",1,"conference"
"tag","interconnect2015",1,"conference"
"tag","RareDiseaseDay2015.
I'm",1,"conference"
"tag","teamwork2015",1,"conference"
"tag","Medicine",145,"mesh"
"tag","Genome",40,"mesh"
"tag","asthma",26,"mesh"
"tag","exome",19,"mesh"
"tag","privacy",17,"mesh"
"tag","research",15,"mesh"
"tag","transportation",13,"mesh"
"tag","Exercise",12,"mesh"
"tag","proteomics",12,"mesh"
"tag","Obesity",11,"mesh"
"tag","food",10,"mesh"
"tag","environment",9,"mesh"
"tag","review",9,"mesh"
"tag","epigenomics",8,"mesh"
"tag","ethics",8,"mesh"
"tag","cytogenetics",7,"mesh"
"tag","India",7,"mesh"
"tag","technology",7,"mesh"
"tag","bacteria",6,"mesh"
"tag","candida",6,"mesh"
"tag","malnutrition",5,"mesh"
"tag","nutrition",5,"mesh"
"tag","alopecia",4,"mesh"
"tag","Bioethics",4,"mesh"
"tag","biotechnology",4,"mesh"
"tag","communication",4,"mesh"
"tag","Entrepreneurship",4,"mesh"
"tag","Informatics",4,"mesh"
"tag","Internet",4,"mesh"
"tag","Malaysia",4,"mesh"
"tag","Methylation",4,"mesh"
"tag","salmonella",4,"mesh"
"tag","Africa",3,"mesh"
"tag","agriculture",3,"mesh"
"tag","Aneuploidy",3,"mesh"
"tag","Arabidopsis",3,"mesh"
"tag","cattle",3,"mesh"
"tag","malaria",3,"mesh"
"tag","policy",3,"mesh"
"tag","transcriptome",3,"mesh"
"tag","Algorithms",2,"mesh"
"tag","biofilms",2,"mesh"
"tag","birds",2,"mesh"
"tag","Boston",2,"mesh"
"tag","breast",2,"mesh"
"tag","child",2,"mesh"
"tag","disease",2,"mesh"
"tag","microbiology",2,"mesh"
"tag","parasitology",2,"mesh"
"tag","patents",2,"mesh"
"tag","FDA",47,"none"
"tag","SNRTG",46,"none"
"tag","Healthcare",42,"none"
"tag","sequencing",40,"none"
"tag","mHealth",38,"none"
"tag","personalizedmedicine",37,"none"
"tag","ehealth",36,"none"
"tag","WearableTech",33,"none"
"tag","indivmed",30,"none"
"tag","analytics",29,"none"
"tag","RareDiseaseDay",28,"none"
"tag","celiac",26,"none"
"tag","GeneticScreening",25,"none"
"tag","Hadoop",25,"none"
"tag","StrataHadoop",23,"none"
"tag","CVID",22,"none"
"tag","data",22,"none"
"tag","HealthIT",22,"none"
"tag","atk",21,"none"
"tag","innovation",21,"none"
"tag","letsFootball",21,"none"
"tag","lungcancer",21,"none"
"tag","TRICON",21,"none"
"tag","ALS",20,"none"
"tag","DataScience",20,"none"
"tag","TCGA",20,"none"
"tag","crop",19,"none"
"tag","GWAS",19,"none"
"tag","microbiome",19,"none"
"tag","MND",19,"none"
"tag","Telehealth",19,"none"
