"type","value","count","flag","part","Iteration"
"top_twitterer","GenomicsRR",1118,"none","2015-10",0
"top_twitterer","SeqComplete",195,"none","2015-10",0
"top_twitterer","Primary_Immune1",151,"none","2015-10",0
"top_twitterer","Genomicswatch",149,"none","2015-10",0
"top_twitterer","moorejh",149,"none","2015-10",0
"top_twitterer","cathcoste",104,"none","2015-10",0
"top_twitterer","Genomicsnew",79,"none","2015-10",0
"top_twitterer","GenomicsNews",77,"none","2015-10",0
"top_twitterer","SMFthinktank",76,"none","2015-10",0
"top_twitterer","BigDataTweetBot",70,"none","2015-10",0
"top_twitterer","GenomicsPlaza",65,"none","2015-10",0
"top_twitterer","GenomicsTopNews",62,"none","2015-10",0
"top_twitterer","drbachinsky",58,"none","2015-10",0
"top_twitterer","genomicsedu",48,"none","2015-10",0
"top_hashtag","cancer",129,"none","2015-10",0
"top_hashtag","RareDisease",125,"none","2015-10",0
"top_hashtag","SNRTG",121,"none","2015-10",0
"top_hashtag","bioinformatics",79,"none","2015-10",0
"top_hashtag","biotech",65,"none","2015-10",0
"top_hashtag","PrecisionMedicine",65,"none","2015-10",0
"top_hashtag","BRCA",54,"none","2015-10",0
"top_hashtag","genomes100k",50,"none","2015-10",0
"top_hashtag","ASHG15",48,"none","2015-10",0
"top_hashtag","DigitalHealth",48,"none","2015-10",0
"top_hashtag","Genome",45,"none","2015-10",0
"top_hashtag","CPC15",36,"none","2015-10",0
"top_hashtag","job",36,"none","2015-10",0
"top_hashtag","breastcancer",34,"none","2015-10",0
"tag","ASHG15",48,"conference","2015-10",0
"tag","CPC15",36,"conference","2015-10",0
"tag","ASHG2015",26,"conference","2015-10",0
"tag","ncbpah2015",5,"conference","2015-10",0
"tag","ISQua2015",4,"conference","2015-10",0
"tag","UGW15",4,"conference","2015-10",0
"tag","2015RW",3,"conference","2015-10",0
"tag","AONN2015",3,"conference","2015-10",0
"tag","CANO2015",3,"conference","2015-10",0
"tag","DigiMed15",3,"conference","2015-10",0
"tag","vdb15",3,"conference","2015-10",0
"tag","VDB2015",3,"conference","2015-10",0
"tag","AAABG2015",2,"conference","2015-10",0
"tag","cew2015",2,"conference","2015-10",0
"tag","CIMCon15",2,"conference","2015-10",0
"tag","ComBio2015",2,"conference","2015-10",0
"tag","Cures2015",2,"conference","2015-10",0
"tag","HBSreunion2015",2,"conference","2015-10",0
"tag","IDWeek2015",2,"conference","2015-10",0
"tag","nat4hdairyconf",2,"conference","2015-10",0
"tag","NGSUS15",2,"conference","2015-10",0
"tag","prokagenomics15",2,"conference","2015-10",0
"tag","AdvaMed15",1,"conference","2015-10",0
"tag","ASHG15...",1,"conference","2015-10",0
"tag","ASRM2015",1,"conference","2015-10",0
"tag","bcs15",1,"conference","2015-10",0
"tag","BioBeat15",1,"conference","2015-10",0
"tag","GTUMD15",1,"conference","2015-10",0
"tag","HCC2015",1,"conference","2015-10",0
"tag","mtns15",1,"conference","2015-10",0
"tag","peerrevwk15",1,"conference","2015-10",0
"tag","SIIA2015",1,"conference","2015-10",0
"tag","Genome",45,"mesh","2015-10",0
"tag","intelligence",19,"mesh","2015-10",0
"tag","informatics",11,"mesh","2015-10",0
"tag","research",11,"mesh","2015-10",0
"tag","epidemiology",9,"mesh","2015-10",0
"tag","malaria",9,"mesh","2015-10",0
"tag","biotechnology",6,"mesh","2015-10",0
"tag","microbiology",6,"mesh","2015-10",0
"tag","medicine",5,"mesh","2015-10",0
"tag","Boston",4,"mesh","2015-10",0
"tag","color",4,"mesh","2015-10",0
"tag","ethics",4,"mesh","2015-10",0
"tag","proteomics",4,"mesh","2015-10",0
"tag","statistics",4,"mesh","2015-10",0
"tag","longevity",3,"mesh","2015-10",0
"tag","autoimmunity",2,"mesh","2015-10",0
"tag","Baltimore",2,"mesh","2015-10",0
"tag","biosurveillance",2,"mesh","2015-10",0
"tag","education",2,"mesh","2015-10",0
"tag","Hemochromatosis",2,"mesh","2015-10",0
"tag","Kenya",2,"mesh","2015-10",0
"tag","lymphoma",2,"mesh","2015-10",0
"tag","schizophrenia",2,"mesh","2015-10",0
"tag","Technology",2,"mesh","2015-10",0
"tag","Africa",1,"mesh","2015-10",0
"tag","allergens",1,"mesh","2015-10",0
"tag","asthma",1,"mesh","2015-10",0
"tag","australia",1,"mesh","2015-10",0
"tag","biochemistry",1,"mesh","2015-10",0
"tag","Bioethics",1,"mesh","2015-10",0
"tag","book",1,"mesh","2015-10",0
"tag","brain",1,"mesh","2015-10",0
"tag","Breast",1,"mesh","2015-10",0
"tag","Candida",1,"mesh","2015-10",0
"tag","cells",1,"mesh","2015-10",0
"tag","Cichlids",1,"mesh","2015-10",0
"tag","cytogenetics",1,"mesh","2015-10",0
"tag","dementia",1,"mesh","2015-10",0
"tag","diet",1,"mesh","2015-10",0
"tag","Disease",1,"mesh","2015-10",0
"tag","endocrinology",1,"mesh","2015-10",0
"tag","epigenomics",1,"mesh","2015-10",0
"tag","Epilepsy",1,"mesh","2015-10",0
"tag","fungi",1,"mesh","2015-10",0
"tag","infection",1,"mesh","2015-10",0
"tag","Infertility",1,"mesh","2015-10",0
"tag","Ireland",1,"mesh","2015-10",0
"tag","Lactobacillus",1,"mesh","2015-10",0
"tag","mammals",1,"mesh","2015-10",0
"tag","manitoba",1,"mesh","2015-10",0
"tag","ngs",34,"none","2015-10",0
"tag","Healthcare",29,"none","2015-10",0
"tag","DozenStartupsPledge",25,"none","2015-10",0
"tag","openaccess",25,"none","2015-10",0
"tag","ColorGenomicsPartners",24,"none","2015-10",0
"tag","biobank",23,"none","2015-10",0
"tag","ai",22,"none","2015-10",0
"tag","tech",22,"none","2015-10",0
"tag","Manager",21,"none","2015-10",0
"tag","Product",21,"none","2015-10",0
"tag","hiring",20,"none","2015-10",0
"tag","evolution",19,"none","2015-10",0
"tag","GWAS",19,"none","2015-10",0
"tag","Indianapolis",18,"none","2015-10",0
"tag","pharma",18,"none","2015-10",0
"tag","WearableTech",17,"none","2015-10",0
"tag","DRSherriWorth",16,"none","2015-10",0
"tag","epistasis",16,"none","2015-10",0
"tag","GREATWeeks",16,"none","2015-10",0
"tag","HuntingtonsDisease",16,"none","2015-10",0
"tag","Cloing",15,"none","2015-10",0
"tag","GeneTherapy",15,"none","2015-10",0
"tag","IoT",15,"none","2015-10",0
"tag","Medical",15,"none","2015-10",0
"tag","BreastCancerAwarenessMonth",12,"none","2015-10",0
"tag","sequencing",12,"none","2015-10",0
"tag","Startup",12,"none","2015-10",0
"tag","Genetic",11,"none","2015-10",0
"tag","ki",11,"none","2015-10",0
"tag","opendata",11,"none","2015-10",0
"tag","pluripotency",11,"none","2015-10",0
"tag","RNA",11,"none","2015-10",0
"top_twitterer","GenomicsRR",1266,"none","2015-2",1
"top_twitterer","westr",665,"none","2015-2",1
"top_twitterer","illumina",476,"none","2015-2",1
"top_twitterer","Paul_Sonnier",322,"none","2015-2",1
"top_twitterer","GenomeBiology",258,"none","2015-2",1
"top_twitterer","moorejh",243,"none","2015-2",1
"top_twitterer","Genomicswatch",203,"none","2015-2",1
"top_twitterer","SeqComplete",196,"none","2015-2",1
"top_twitterer","cathcoste",190,"none","2015-2",1
"top_twitterer","NoSQLDigest",151,"none","2015-2",1
"top_twitterer","DrKhouryCDC",141,"none","2015-2",1
"top_twitterer","JenniferJoeMD",96,"none","2015-2",1
"top_twitterer","GenomicsPlaza",89,"none","2015-2",1
"top_twitterer","Primary_Immune1",79,"none","2015-2",1
"top_hashtag","AGBT15",528,"none","2015-2",1
"top_hashtag","raredisease",239,"none","2015-2",1
"top_hashtag","Cancer",183,"none","2015-2",1
"top_hashtag","Biotech",164,"none","2015-2",1
"top_hashtag","Medicine",145,"none","2015-2",1
"top_hashtag","digitalhealth",132,"none","2015-2",1
"top_hashtag","dnaspectrum",129,"none","2015-2",1
"top_hashtag","foodsafe",129,"none","2015-2",1
"top_hashtag","precisionmedicine",96,"none","2015-2",1
"top_hashtag","bioinformatics",91,"none","2015-2",1
"top_hashtag","NEJMforum",84,"none","2015-2",1
"top_hashtag","RareDiseaseDay2015",80,"none","2015-2",1
"top_hashtag","pm101",73,"none","2015-2",1
"top_hashtag","NGS",61,"none","2015-2",1
"tag","AGBT15",528,"conference","2015-2",1
"tag","RareDiseaseDay2015",80,"conference","2015-2",1
"tag","StrataConf",21,"conference","2015-2",1
"tag","WRDD2015",20,"conference","2015-2",1
"tag","AGBT2015",18,"conference","2015-2",1
"tag","FMLMConf",16,"conference","2015-2",1
"tag","Oscars2015",10,"conference","2015-2",1
"tag","AGBT15:
http://t.co/lPjcEHr1km
Nice",9,"conference","2015-2",1
"tag","FOGM15",8,"conference","2015-2",1
"tag","AGBT15
http://t.co/95HhxCQCqT",7,"conference","2015-2",1
"tag","GirlDay2015",6,"conference","2015-2",1
"tag","JGI2015",6,"conference","2015-2",1
"tag","NFU15",6,"conference","2015-2",1
"tag","BeHeard2015",5,"conference","2015-2",1
"tag","CRISPR2015",5,"conference","2015-2",1
"tag","GRD15",5,"conference","2015-2",1
"tag","AGBT15”",4,"conference","2015-2",1
"tag","Herd15",4,"conference","2015-2",1
"tag","PCA2015Chat",4,"conference","2015-2",1
"tag","quantgen15",4,"conference","2015-2",1
"tag","coac15",3,"conference","2015-2",1
"tag","ESA2015",3,"conference","2015-2",1
"tag","GU15",3,"conference","2015-2",1
"tag","SXSW2015",3,"conference","2015-2",1
"tag","Wisdom2015",3,"conference","2015-2",1
"tag","wisdom2conf",3,"conference","2015-2",1
"tag","xgenseq15",3,"conference","2015-2",1
"tag","AGBT15

Is",2,"conference","2015-2",1
"tag","AGBT15
http://t.co/1DN7P1c1Ak",2,"conference","2015-2",1
"tag","ASCPT2015",2,"conference","2015-2",1
"tag","FMLM_Conf",2,"conference","2015-2",1
"tag","Genome2015",2,"conference","2015-2",1
"tag","ICEC15",2,"conference","2015-2",1
"tag","MBC15",2,"conference","2015-2",1
"tag","PMWC2015",2,"conference","2015-2",1
"tag","rrd15",2,"conference","2015-2",1
"tag","WISH2015",2,"conference","2015-2",1
"tag","2015",1,"conference","2015-2",1
"tag","2015CBBO",1,"conference","2015-2",1
"tag","agbt15)",1,"conference","2015-2",1
"tag","AGBT15...",1,"conference","2015-2",1
"tag","amamtg",1,"conference","2015-2",1
"tag","ASLO2015",1,"conference","2015-2",1
"tag","CROI2015",1,"conference","2015-2",1
"tag","FNA15",1,"conference","2015-2",1
"tag","interconnect2015",1,"conference","2015-2",1
"tag","RareDiseaseDay2015.
I'm",1,"conference","2015-2",1
"tag","teamwork2015",1,"conference","2015-2",1
"tag","Medicine",145,"mesh","2015-2",1
"tag","Genome",40,"mesh","2015-2",1
"tag","asthma",26,"mesh","2015-2",1
"tag","exome",19,"mesh","2015-2",1
"tag","privacy",17,"mesh","2015-2",1
"tag","research",15,"mesh","2015-2",1
"tag","transportation",13,"mesh","2015-2",1
"tag","Exercise",12,"mesh","2015-2",1
"tag","proteomics",12,"mesh","2015-2",1
"tag","Obesity",11,"mesh","2015-2",1
"tag","food",10,"mesh","2015-2",1
"tag","environment",9,"mesh","2015-2",1
"tag","review",9,"mesh","2015-2",1
"tag","epigenomics",8,"mesh","2015-2",1
"tag","ethics",8,"mesh","2015-2",1
"tag","cytogenetics",7,"mesh","2015-2",1
"tag","India",7,"mesh","2015-2",1
"tag","technology",7,"mesh","2015-2",1
"tag","bacteria",6,"mesh","2015-2",1
"tag","candida",6,"mesh","2015-2",1
"tag","malnutrition",5,"mesh","2015-2",1
"tag","nutrition",5,"mesh","2015-2",1
"tag","alopecia",4,"mesh","2015-2",1
"tag","Bioethics",4,"mesh","2015-2",1
"tag","biotechnology",4,"mesh","2015-2",1
"tag","communication",4,"mesh","2015-2",1
"tag","Entrepreneurship",4,"mesh","2015-2",1
"tag","Informatics",4,"mesh","2015-2",1
"tag","Internet",4,"mesh","2015-2",1
"tag","Malaysia",4,"mesh","2015-2",1
"tag","Methylation",4,"mesh","2015-2",1
"tag","salmonella",4,"mesh","2015-2",1
"tag","Africa",3,"mesh","2015-2",1
"tag","agriculture",3,"mesh","2015-2",1
"tag","Aneuploidy",3,"mesh","2015-2",1
"tag","Arabidopsis",3,"mesh","2015-2",1
"tag","cattle",3,"mesh","2015-2",1
"tag","malaria",3,"mesh","2015-2",1
"tag","policy",3,"mesh","2015-2",1
"tag","transcriptome",3,"mesh","2015-2",1
"tag","Algorithms",2,"mesh","2015-2",1
"tag","biofilms",2,"mesh","2015-2",1
"tag","birds",2,"mesh","2015-2",1
"tag","Boston",2,"mesh","2015-2",1
"tag","breast",2,"mesh","2015-2",1
"tag","child",2,"mesh","2015-2",1
"tag","disease",2,"mesh","2015-2",1
"tag","microbiology",2,"mesh","2015-2",1
"tag","parasitology",2,"mesh","2015-2",1
"tag","patents",2,"mesh","2015-2",1
"tag","FDA",47,"none","2015-2",1
"tag","SNRTG",46,"none","2015-2",1
"tag","Healthcare",42,"none","2015-2",1
"tag","sequencing",40,"none","2015-2",1
"tag","mHealth",38,"none","2015-2",1
"tag","personalizedmedicine",37,"none","2015-2",1
"tag","ehealth",36,"none","2015-2",1
"tag","WearableTech",33,"none","2015-2",1
"tag","indivmed",30,"none","2015-2",1
"tag","analytics",29,"none","2015-2",1
"tag","RareDiseaseDay",28,"none","2015-2",1
"tag","celiac",26,"none","2015-2",1
"tag","GeneticScreening",25,"none","2015-2",1
"tag","Hadoop",25,"none","2015-2",1
"tag","StrataHadoop",23,"none","2015-2",1
"tag","CVID",22,"none","2015-2",1
