"type","value","count","flag"
"top_twitterer","ActionOnHearing",1221,"none"
"top_twitterer","BritishTinnitus",1168,"none"
"top_twitterer","phonak",497,"none"
"top_twitterer","HearingHealthFn",452,"none"
"top_twitterer","HEALTHFITNES26",271,"none"
"top_twitterer","CochlearUS",265,"none"
"top_twitterer","BigEarInc",228,"none"
"top_twitterer","AegisSoundLabs",160,"none"
"top_twitterer","starkeyhearing",151,"none"
"top_twitterer","MDLinx",131,"none"
"top_twitterer","RestoreHearing",110,"none"
"top_twitterer","espamerica",85,"none"
"top_twitterer","MedAcoustics",63,"none"
"top_twitterer","Siemens_Hear_US",59,"none"
"top_hashtag","hearing",677,"none"
"top_hashtag","HearingLoss",651,"none"
"top_hashtag","tinnitus",481,"none"
"top_hashtag","hearingaccess",180,"none"
"top_hashtag","SubtitleIt",119,"none"
"top_hashtag","BigEarInc",103,"none"
"top_hashtag","hearingaids",92,"none"
"top_hashtag","loss",79,"none"
"top_hashtag","audpeeps",75,"none"
"top_hashtag","2",70,"none"
"top_hashtag","4",68,"none"
"top_hashtag","6",63,"none"
"top_hashtag","3",62,"none"
"top_hashtag","music",62,"none"
"tag","HLAA2015",35,"conference"
"tag","MNDAwarenessMonth2015
One",15,"conference"
"tag","2015SDS",5,"conference"
"tag","EWM15",5,"conference"
"tag","reasonconf2015",5,"conference"
"tag","wvs2015",5,"conference"
"tag","AANP15",4,"conference"
"tag","CMVAwarenessMonth2015",4,"conference"
"tag","DBAW15",4,"conference"
"tag","VisionUK2015",4,"conference"
"tag","anhsc2015",3,"conference"
"tag","BMC2015",3,"conference"
"tag","IA2015",3,"conference"
"tag","kfdigital15",3,"conference"
"tag","LDWeek15",3,"conference"
"tag","E32015",2,"conference"
"tag","firefly2015",2,"conference"
"tag","H4Hsummercamp15",2,"conference"
"tag","HSWeek15",2,"conference"
"tag","saaids2015",2,"conference"
"tag","ahcj15",1,"conference"
"tag","alaac15",1,"conference"
"tag","AMS15",1,"conference"
"tag","BIF15",1,"conference"
"tag","BIO2015",1,"conference"
"tag","change2015",1,"conference"
"tag","chla15",1,"conference"
"tag","CILAD2015",1,"conference"
"tag","DBAW2015",1,"conference"
"tag","fens2015",1,"conference"
"tag","FIFA15",1,"conference"
"tag","FightFor15",1,"conference"
"tag","GBC2015",1,"conference"
"tag","graphicon15",1,"conference"
"tag","italladdsup15",1,"conference"
"tag","menabling15",1,"conference"
"tag","MissSC2015",1,"conference"
"tag","NASN2015",1,"conference"
"tag","TwitterConfessions",1,"conference"
"tag","WorldCup2015",1,"conference"
"tag","wsd2015",1,"conference"
"tag","hearing",677,"mesh"
"tag","tinnitus",481,"mesh"
"tag","music",62,"mesh"
"tag","dementia",34,"mesh"
"tag","ear",27,"mesh"
"tag","deafness",23,"mesh"
"tag","audiology",22,"mesh"
"tag","Diet",15,"mesh"
"tag","noise",15,"mesh"
"tag","depression",11,"mesh"
"tag","work",10,"mesh"
"tag","Hawaii",9,"mesh"
"tag","arthritis",8,"mesh"
"tag","homeopathy",8,"mesh"
"tag","Osteoporosis",8,"mesh"
"tag","sound",8,"mesh"
"tag","anxiety",7,"mesh"
"tag","radio",7,"mesh"
"tag","volunteers",7,"mesh"
"tag","Basketball",6,"mesh"
"tag","boston",6,"mesh"
"tag","Medicare",6,"mesh"
"tag","exercise",5,"mesh"
"tag","insurance",5,"mesh"
"tag","love",5,"mesh"
"tag","parenting",5,"mesh"
"tag","safety",5,"mesh"
"tag","technology",5,"mesh"
"tag","workplace",5,"mesh"
"tag","education",4,"mesh"
"tag","Iran",4,"mesh"
"tag","memory",4,"mesh"
"tag","Parents",4,"mesh"
"tag","veterans",4,"mesh"
"tag","yoga",4,"mesh"
"tag","baseball",3,"mesh"
"tag","blogging",3,"mesh"
"tag","brain",3,"mesh"
"tag","charities",3,"mesh"
"tag","dreams",3,"mesh"
"tag","family",3,"mesh"
"tag","happiness",3,"mesh"
"tag","research",3,"mesh"
"tag","risk",3,"mesh"
"tag","sports",3,"mesh"
"tag","Tunisia",3,"mesh"
"tag","Venus",3,"mesh"
"tag","Vertigo",3,"mesh"
"tag","aging",2,"mesh"
"tag","Agriculture",2,"mesh"
"tag","1",60,"none"
"tag","deaf",52,"none"
"tag","MakeMusicChange
https://t…",47,"none"
"tag","emotional",41,"none"
"tag","5",35,"none"
"tag","Tsarnaev",35,"none"
"tag","Pitmad",34,"none"
"tag","NA",32,"none"
"tag","truestory",29,"none"
"tag","SLPeeps",28,"none"
"tag","cochlear",26,"none"
"tag","CR",25,"none"
"tag","hearinglosshour",24,"none"
"tag","Ageing",21,"none"
"tag","Roaracle",18,"none"
"tag","DontBeHorny",17,"none"
"tag","JaneaneGarofalo",17,"none"
"tag","VolunteersWeek",17,"none"
"tag","MakeMusicChange",16,"none"
"tag","MensHealthMonth",16,"none"
"tag","SB277",16,"none"
"tag","Skype",16,"none"
"tag","stigma",16,"none"
"tag","OliverAudiology",15,"none"
"tag","RaveResponsibly",15,"none"
"tag","TheHinduImpact",15,"none"
"tag","CMV",14,"none"
"tag","concerts",14,"none"
