"type","value","count","flag"
"top_twitterer","EntryLevelJob",721,"none"
"top_twitterer","Personal_Med",277,"none"
"top_twitterer","BioSquat",191,"none"
"top_twitterer","StarTrekUpdate",101,"none"
"top_twitterer","Diaceutics",87,"none"
"top_twitterer","cathcoste",65,"none"
"top_twitterer","JessicaAlbaPro",55,"none"
"top_twitterer","DiagnosticsJoe",50,"none"
"top_twitterer","BigDataTweetBot",37,"none"
"top_twitterer","WrldHealthcare",34,"none"
"top_twitterer","bioceuticsphc",25,"none"
"top_twitterer","labceuticslabs",23,"none"
"top_twitterer","PersonalMedsCon",14,"none"
"top_twitterer","dhowe8059",12,"none"
"top_hashtag","medicine",697,"none"
"top_hashtag","personalized",611,"none"
"top_hashtag","precision",519,"none"
"top_hashtag","podcast",342,"none"
"top_hashtag","personalizedmedicine",220,"none"
"top_hashtag","watson",219,"none"
"top_hashtag","cancer",215,"none"
"top_hashtag","healthcare",120,"none"
"top_hashtag","IBMWatson",101,"none"
"top_hashtag","PrecisionMedicine",100,"none"
"top_hashtag","analytics",55,"none"
"top_hashtag","digitalhealth",50,"none"
"top_hashtag","cognitivecomputing",47,"none"
"top_hashtag","immunotherapy",47,"none"
"tag","Cures2015",12,"conference"
"tag","medinfo2015",10,"conference"
"tag","pmconf",10,"conference"
"tag","JSM2015",8,"conference"
"tag","BCANTT15",5,"conference"
"tag","NMADetroit2015",5,"conference"
"tag","WCPO15",5,"conference"
"tag","LiNo15",4,"conference"
"tag","ISF2015",3,"conference"
"tag","AADE15",2,"conference"
"tag","ACE15",2,"conference"
"tag","bio2015",2,"conference"
"tag","hdic15",2,"conference"
"tag","IDF15",2,"conference"
"tag","keynotejeff15",2,"conference"
"tag","TIAFT2015
The",2,"conference"
"tag","YSEP15",2,"conference"
"tag","BPGW15",1,"conference"
"tag","ConnectedHealth15",1,"conference"
"tag","I3DPConf",1,"conference"
"tag","ngs2015",1,"conference"
"tag","VAFP2015",1,"conference"
"tag","vivo15",1,"conference"
"tag","wcha2015",1,"conference"
"tag","WGLSummitGeneva2015",1,"conference"
"tag","medicine",697,"mesh"
"tag","immunotherapy",47,"mesh"
"tag","Sports",19,"mesh"
"tag","Medicare",18,"mesh"
"tag","technology",16,"mesh"
"tag","genome",11,"mesh"
"tag","Obesity",10,"mesh"
"tag","heart",8,"mesh"
"tag","research",8,"mesh"
"tag","sociology",8,"mesh"
"tag","disease",7,"mesh"
"tag","radiology",7,"mesh"
"tag","athletes",6,"mesh"
"tag","stroke",6,"mesh"
"tag","asthma",5,"mesh"
"tag","India",5,"mesh"
"tag","myeloma",4,"mesh"
"tag","nanotechnology",4,"mesh"
"tag","patients",4,"mesh"
"tag","pharmacogenetics",4,"mesh"
"tag","schizophrenia",4,"mesh"
"tag","hospitals",3,"mesh"
"tag","Ontario",3,"mesh"
"tag","pharmacy",3,"mesh"
"tag","Quebec",3,"mesh"
"tag","bioethics",2,"mesh"
"tag","California",2,"mesh"
"tag","entrepreneurship",2,"mesh"
"tag","europe",2,"mesh"
"tag","Melanoma",2,"mesh"
"tag","nutrition",2,"mesh"
"tag","patents",2,"mesh"
"tag","software",2,"mesh"
"tag","telemedicine",2,"mesh"
"tag","aging",1,"mesh"
"tag","anesthesia",1,"mesh"
"tag","Anesthesiology",1,"mesh"
"tag","boston",1,"mesh"
"tag","cannabis",1,"mesh"
"tag","cardiology",1,"mesh"
"tag","cells",1,"mesh"
"tag","coffee",1,"mesh"
"tag","colon",1,"mesh"
"tag","Communism",1,"mesh"
"tag","depression",1,"mesh"
"tag","Dreams",1,"mesh"
"tag","electronics",1,"mesh"
"tag","exercise",1,"mesh"
"tag","metabolomics",1,"mesh"
"tag","nanomedicine",1,"mesh"
"tag","KnowYourTumor",37,"none"
"tag","pancreaticcancer",37,"none"
"tag","3Dprinting",31,"none"
"tag","IBM",30,"none"
"tag","HealthIT",27,"none"
"tag","RareDiseases",24,"none"
"tag","WCrare",24,"none"
"tag","conscioushealthsolutions",23,"none"
"tag","innovation",23,"none"
"tag","msphProf",23,"none"
"tag","Job",22,"none"
"tag","3Dprinted",21,"none"
"tag","pmcon",19,"none"
"tag","wildducks",19,"none"
"tag","cloud",18,"none"
"tag","BigData's",17,"none"
"tag","infographic",17,"none"
"tag","HPC",16,"none"
"tag","mHealth",16,"none"
"tag","PM101",16,"none"
"tag","3D",15,"none"
"tag","FDA",15,"none"
"tag","Medical",15,"none"
"tag","Toronto",15,"none"
"tag","BeFutureReady",14,"none"
"tag","الطب_الشخصي",14,"none"
"tag","KFSHRC",13,"none"
"tag","OpenPOWER",13,"none"
"tag","Pharma",13,"none"
"tag","Targeted",13,"none"
"tag","مركز_الأبحاث",13,"none"
"tag","cloudballpark",12,"none"
"tag","cloudchaps",12,"none"
